Track,Event Type,Midi Note,Note Name,Velocity,Duration (seconds),Time (seconds)
1,note_on,70,A#4,0.6299212598425197,0.14124976458333333,0.00
2,note_on,43,G2,0.6299212598425197,0.2837495270833333,0.00
1,note_on,62,D4,0.6299212598425197,0.14124976458333333,0.15
1,note_on,60,C4,0.6299212598425197,0.14124976458333333,0.30
2,note_on,50,D3,0.6299212598425197,0.28374952708333334,0.30
1,note_on,62,D4,0.6299212598425197,0.14124976458333338,0.44999924999999996
1,note_on,58,A#3,0.6299212598425197,0.14124976458333327,0.60
2,note_on,55,G3,0.6299212598425197,0.28374952708333334,0.60
1,note_on,62,D4,0.6299212598425197,0.14124976458333327,0.7499987499999999
1,note_on,60,C4,0.6299212598425197,0.14124976458333327,0.8999984999999999
2,note_on,50,D3,0.6299212598425197,0.28374952708333323,0.8999984999999999
1,note_on,62,D4,0.6299212598425197,0.1412497645833335,1.0499982499999998
1,note_on,70,A#4,0.6299212598425197,0.14124976458333327,1.20
2,note_on,43,G2,0.6299212598425197,0.28374952708333345,1.20
1,note_on,62,D4,0.6299212598425197,0.14124976458333327,1.35
1,note_on,60,C4,0.6299212598425197,0.14124976458333327,1.4999974999999999
2,note_on,50,D3,0.6299212598425197,0.28374952708333345,1.4999974999999999
1,note_on,62,D4,0.6299212598425197,0.1412497645833335,1.6499972499999997
1,note_on,58,A#3,0.6299212598425197,0.14124976458333327,1.7999969999999998
2,note_on,55,G3,0.6299212598425197,0.28374952708333323,1.7999969999999998
1,note_on,62,D4,0.6299212598425197,0.14124976458333327,1.95
1,note_on,60,C4,0.6299212598425197,0.14124976458333371,2.0999964999999996
2,note_on,50,D3,0.6299212598425197,0.2837495270833337,2.0999964999999996
1,note_on,62,D4,0.6299212598425197,0.14124976458333327,2.2499962499999997
1,note_on,70,A#4,0.6299212598425197,0.14124976458333327,2.40
2,note_on,36,C2,0.6299212598425197,0.28374952708333323,2.40
1,note_on,63,D#4,0.6299212598425197,0.14124976458333327,2.55
1,note_on,62,D4,0.6299212598425197,0.14124976458333327,2.70
2,note_on,43,G2,0.6299212598425197,0.2837495270833328,2.70
1,note_on,63,D#4,0.6299212598425197,0.14124976458333327,2.8499952499999996
1,note_on,58,A#3,0.6299212598425197,0.14124976458333327,2.9999949999999997
2,note_on,48,C3,0.6299212598425197,0.28374952708333323,2.9999949999999997
1,note_on,63,D#4,0.6299212598425197,0.14124976458333327,3.15
1,note_on,62,D4,0.6299212598425197,0.14124976458333371,3.2999944999999995
2,note_on,43,G2,0.6299212598425197,0.28374952708333323,3.2999944999999995
1,note_on,63,D#4,0.6299212598425197,0.14124976458333327,3.4499942499999996
1,note_on,70,A#4,0.6299212598425197,0.14124976458333327,3.5999939999999997
2,note_on,36,C2,0.6299212598425197,0.28374952708333323,3.5999939999999997
1,note_on,63,D#4,0.6299212598425197,0.14124976458333327,3.75
1,note_on,62,D4,0.6299212598425197,0.14124976458333283,3.90
2,note_on,43,G2,0.6299212598425197,0.2837495270833328,3.90
1,note_on,63,D#4,0.6299212598425197,0.14124976458333283,4.05
1,note_on,58,A#3,0.6299212598425197,0.14124976458333371,4.199992999999999
2,note_on,48,C3,0.6299212598425197,0.2837495270833337,4.199992999999999
1,note_on,63,D#4,0.6299212598425197,0.14124976458333371,4.349992749999999
1,note_on,62,D4,0.6299212598425197,0.14124976458333371,4.499992499999999
2,note_on,43,G2,0.6299212598425197,0.2837495270833337,4.499992499999999
